split,model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
70:30,Logistic Regression,0.7268297761582508,0.7570637296223992,0.6594970614019234,0.7048902753233787,0.7929298526639251,0.7266676383423213,0.7570799954868555,0.6589413728763626,0.7046098918408065,0.7926470965938706
70:30,KNN,0.7166267568974491,0.7286789844890393,0.6806682909924332,0.7038474329612379,0.7758187743217532,0.7201088276733226,0.7319555182543013,0.6851615437493862,0.7077859497844281,0.7798279088828288
70:30,Random Forest,0.7092347735554398,0.7128472889575919,0.6904749540589366,0.7014569361734341,0.7690285067103213,0.7101491522129914,0.7118031140130587,0.6958656584503584,0.7037441652597081,0.7714364957810529
70:30,SVM,0.7254763144195732,0.7618031561257881,0.6476279493170674,0.7000659738016168,0.7924070405738388,0.7253558762085216,0.7612456747404844,0.6481390552882255,0.7001538216729433,0.7919981549188315
70:30,Decision Tree,0.6307964601769911,0.6262038000417292,0.6294038132677366,0.6277941902696811,0.6307949713098487,0.6390710780741389,0.6333527019174898,0.6422468820583325,0.6377687844361012,0.6391350875138806
80:20,KNN,0.7185438862851627,0.7308310480164226,0.6823925334168862,0.7057701711996884,0.7757929220003167,0.7176796385366565,0.7313124900809396,0.6787450287229342,0.7040488922841864,0.7793819840373117
80:20,Logistic Regression,0.7264876179184709,0.7569315988489593,0.6586384960765105,0.7043552033650776,0.792627974140627,0.7266433464509546,0.7601918465227818,0.6537045220209162,0.7029381484121328,0.7939898917180427
80:20,Random Forest,0.7091243233317488,0.7126413437576704,0.6904949995473093,0.7013716278764025,0.7693052736371891,0.7107564494971579,0.7153987167736022,0.6897923110914715,0.7023622047244095,0.7725410079434416
80:20,SVM,0.7263600768582309,0.7630518315240076,0.6481423300451368,0.7009083661893623,0.7920825688380553,0.7246028275761551,0.763757448300035,0.641920754161143,0.6975590236094438,0.7933355212253248
80:20,Decision Tree,0.6302882442566566,0.6262924879072517,0.6265975253583124,0.6264420488662129,0.630224396360172,0.6287713161346743,0.6264736606476645,0.6183532184415967,0.6223869532987398,0.6286991346183938
