feature,correlation_to_target,abs_correlation_to_target
ap_hi,0.42803420416728777,0.42803420416728777
map_pressure,0.40959309147331857,0.40959309147331857
ap_lo,0.3404497059008316,0.3404497059008316
bp_category_htn2,0.33934188057974785,0.33934188057974785
pulse_pressure,0.33693170855936866,0.33693170855936866
age_years,0.23935413746740922,0.23935413746740922
cholesterol,0.22143008541650908,0.22143008541650908
bp_category_normal,-0.21973303564328206,0.21973303564328206
bmi,0.18953783409554206,0.18953783409554206
weight,0.1800578458516675,0.1800578458516675
bp_category_htn1,-0.10837931539777174,0.10837931539777174
gluc,0.0897124277525542,0.0897124277525542
bp_category_elevated,-0.07474350513730915,0.07474350513730915
active,-0.0376403908175298,0.0376403908175298
smoke,-0.016329837796332614,0.016329837796332614
height,-0.011869581605127263,0.011869581605127263
alco,-0.008521585709398845,0.008521585709398845
gender,0.007170412012409198,0.007170412012409198
