split,model,cv_mae,cv_mape,cv_rmse,cv_r2,test_mae,test_mape,test_rmse,test_r2
70:30,Linear Regression (poly2),50.71584710960196,57.952764465266085,86.48487293886892,0.29189412689145555,50.175722343758736,57.58782028766064,86.04072196629575,0.28144446390466693
70:30,Linear Regression (poly2 log1p),40.852505584025536,35.579599539903725,88.4580680452746,0.2593047288790271,41.05721023767878,36.3841919682987,88.92544804029225,0.23245407205041901
70:30,Linear Regression,53.01126245090202,60.79708468344134,94.10884395091107,0.16146928301268026,52.90340216092114,62.150488325954086,92.58344831177662,0.16800837915099176
70:30,Linear Regression (log1p),44.79123999235496,39.10732731465097,97.03217281377404,0.10901666608641766,44.877963674547104,40.107183799194985,95.85790953462428,0.1081164468953757
70:30,SVR,44.69256775807713,32.97467722382488,103.6229616298702,-0.015623415261531992,44.305714383300284,33.3674987471397,102.06639054706777,-0.01115506461398108
80:20,Linear Regression (poly2),50.59921398618087,57.82589861780283,86.37029702829537,0.29818641749852853,49.625634526706136,57.90177854585953,84.33935333471143,0.289191388980384
80:20,Linear Regression (poly2 log1p),40.91985070648061,35.58636636233498,88.7382073519879,0.2593134123456067,40.204612138017524,36.24887374154673,86.93498054085292,0.24476645904395622
80:20,Linear Regression,53.18509186656793,61.06791856529642,94.28955011409815,0.16379972230901113,52.552328737956024,62.81284630695482,91.17257077684881,0.16934525888431684
80:20,Linear Regression (log1p),44.966988073528825,39.25478125438088,97.25863046110553,0.11043271166347868,44.33303775713948,40.39800650218097,94.35272507709003,0.11038715988554837
80:20,SVR,44.86279326283392,33.106027948201415,103.8830266590077,-0.014896098216620279,43.17364829512522,32.84130678176871,100.03139242670991,8.110481141698767e-05
